排名,股票代码,panic_depth,support_strength,panic_volume,catalyst_score,base_score,总分,penalty_log
1,300709.SZ,0.0,12.0,359.47999999999996,8.0,379.47999999999996,379.47999999999996,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
2,301666.SZ,8.0,12.0,304.114,8.0,332.114,332.114,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
3,688635.SH,0.0,12.0,641.5999999999999,0.0,653.5999999999999,326.79999999999995,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
4,301310.SZ,0.0,0.0,624.5425,0.0,624.5425,312.27125,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
5,301276.SZ,15.0,0.0,280.7376,8.0,303.7376,303.7376,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
6,688549.SH,0.0,12.0,240.43679999999998,8.0,260.43679999999995,260.43679999999995,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
7,002972.SZ,0.0,8.0,230.3619,8.0,246.3619,246.3619,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
8,301373.SZ,0.0,12.0,213.3226,8.0,233.3226,233.3226,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
9,301526.SZ,0.0,8.0,201.8162,8.0,217.8162,217.8162,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
10,300706.SZ,0.0,0.0,206.9908,8.0,214.9908,214.9908,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
11,688530.SH,0.0,8.0,198.892,8.0,214.892,214.892,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
12,300222.SZ,0.0,12.0,189.2606,8.0,209.2606,209.2606,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
13,301568.SZ,0.0,12.0,186.835,8.0,206.835,206.835,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
14,300570.SZ,0.0,12.0,394.5585,0.0,406.5585,203.27925,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
15,300342.SZ,23.0,0.0,169.38809999999998,8.0,200.38809999999998,200.38809999999998,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
16,002491.SZ,0.0,12.0,171.1968,8.0,191.1968,191.1968,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
17,300249.SZ,5.0,12.0,159.39589999999998,8.0,184.39589999999998,184.39589999999998,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
18,301176.SZ,0.0,12.0,332.83349999999996,0.0,344.83349999999996,172.41674999999998,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
19,002980.SZ,0.0,8.0,151.6482,8.0,167.6482,167.6482,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
20,002902.SZ,0.0,0.0,156.83360000000002,8.0,164.83360000000002,164.83360000000002,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
21,300964.SZ,0.0,12.0,311.8,0.0,323.8,161.9,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
22,603459.SH,0.0,0.0,153.7972,8.0,161.7972,161.7972,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
23,301682.SZ,0.0,8.0,145.464,8.0,161.464,161.464,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
24,301132.SZ,0.0,12.0,140.725,8.0,160.725,160.725,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
25,000733.SZ,0.0,12.0,138.976,8.0,158.976,158.976,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
26,688590.SH,5.0,0.0,144.94480000000001,8.0,157.94480000000001,157.94480000000001,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
27,301099.SZ,0.0,0.0,309.6,0.0,309.6,154.8,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
28,301580.SZ,0.0,12.0,133.5138,8.0,153.5138,153.5138,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
29,301314.SZ,0.0,3.0,142.242,8.0,153.242,153.242,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
30,688603.SH,0.0,8.0,135.39360000000002,8.0,151.39360000000002,151.39360000000002,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]"
