排名,股票代码,panic_depth,support_strength,panic_volume,catalyst_score,base_score,formula_score,总分,penalty_log
1,603202.SH,30.0,3.0,55.221000000000004,8.0,57.0,57.0,57.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
2,300465.SZ,30.0,3.0,93.9328,8.0,57.0,57.0,57.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
3,300411.SZ,30.0,3.0,73.71,8.0,57.0,57.0,57.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
4,600793.SH,30.0,3.0,60.74880000000001,8.0,57.0,57.0,57.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
5,002251.SZ,27.0,3.0,59.6551,8.0,54.0,54.0,54.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
6,603122.SH,27.0,3.0,64.4734,8.0,54.0,54.0,54.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
7,600876.SH,30.0,3.0,35.9502,8.0,53.0,53.0,53.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
8,000995.SZ,30.0,3.0,31.0,8.0,53.0,53.0,53.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
9,000892.SZ,30.0,3.0,40.004,8.0,53.0,53.0,53.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
10,600408.SH,30.0,3.0,42.5258,8.0,53.0,53.0,53.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
11,002596.SZ,30.0,3.0,31.2696,8.0,53.0,53.0,53.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
12,002629.SZ,30.0,3.0,35.6642,8.0,53.0,53.0,53.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
13,002490.SZ,30.0,3.0,35.6626,8.0,53.0,53.0,53.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
14,600121.SH,25.0,3.0,72.15180000000001,8.0,52.0,52.0,52.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
15,603334.SH,27.0,3.0,35.5866,8.0,50.0,50.0,50.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
16,002316.SZ,27.0,3.0,33.333,8.0,50.0,50.0,50.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
17,002159.SZ,27.0,3.0,34.159800000000004,8.0,50.0,50.0,50.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
18,002453.SZ,23.0,3.0,81.4253,8.0,50.0,50.0,50.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
19,600573.SH,27.0,3.0,32.3811,8.0,50.0,50.0,50.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
20,002177.SZ,27.0,3.0,31.372199999999996,8.0,50.0,50.0,50.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
21,300468.SZ,27.0,3.0,30.0079,8.0,50.0,50.0,50.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
22,300040.SZ,26.0,3.0,30.360999999999997,8.0,49.0,49.0,49.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
23,002165.SZ,22.0,3.0,63.656600000000005,8.0,49.0,49.0,49.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
24,002285.SZ,30.0,3.0,18.9046,8.0,47.0,47.0,47.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
25,002627.SZ,30.0,3.0,19.448800000000002,8.0,47.0,47.0,47.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
26,002682.SZ,30.0,3.0,17.355500000000003,8.0,47.0,47.0,47.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
27,002076.SZ,20.0,3.0,59.604600000000005,8.0,47.0,47.0,47.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
28,603282.SH,30.0,3.0,19.788800000000002,8.0,47.0,47.0,47.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
29,603878.SH,30.0,3.0,20.0434,8.0,47.0,47.0,47.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
30,002940.SZ,20.0,3.0,58.9154,8.0,47.0,47.0,47.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2215}]"
