排名,股票代码,seal_ratio,seal_amount,seal_strength,consecutive_limit,volume_ratio,base_score,formula_score,总分,penalty_log,name
1,002910.SZ,0.89,17278.87,1.74,,,31,31,31,,庄园牧场
2,000777.SZ,3.42,31277.96,0.67,,,30,30,30,,中核科技
3,600110.SH,4.17,70622.34,0.06,,,30,30,30,,诺德股份
4,600353.SH,3.69,52943.49,0.05,,,30,30,30,,旭光电子
5,002741.SZ,1.74,29114.86,0.1,,,28,28,28,,光华科技
6,002160.SZ,9.05,18622.09,0.21,,,28,28,28,,常铝股份
7,603169.SH,0.93,13303.24,0.86,,,28,28,28,,兰石重装
8,600192.SH,0.69,4547.47,1.74,,,25,25,25,,长城电工
9,603196.SH,0.82,9161.34,1.26,,,25,25,25,,璞源材料
10,002990.SZ,0.23,11083.32,1.62,,,25,25,25,,盛视科技
11,002700.SZ,0.67,8576.83,0.68,,,25,25,25,,万憬能源
12,002346.SZ,0.53,6543.21,1.22,,,25,25,25,,柘中股份
13,002047.SZ,0.53,3584.08,0.46,,,22,22,22,,宝鹰股份
14,000736.SZ,0.5,4021.34,0.85,,,22,22,22,,中交地产
15,002585.SZ,0.24,21088.83,0.35,,,22,22,22,,双星新材
16,300780.SZ,0.44,10432.57,0.8,,,22,22,22,,德恩精工
17,002782.SZ,0.4,10778.07,0.71,,,22,22,22,,可立克
18,600500.SH,0.29,26771.21,0.42,,,22,22,22,,中化国际
19,002885.SZ,0.25,11172.72,0.74,,,22,22,22,,京泉华
20,000679.SZ,0.44,3499.52,2.38,,,21,21,21,,大连友谊
21,001387.SZ,0.26,3023.78,2.5,,,21,21,21,,雪祺电气
22,605166.SH,0.28,4070.4,1.6,,,19,19,19,,聚合顺
23,002449.SZ,0.48,6671.38,0.62,,,19,19,19,,国星光电
24,002989.SZ,0.25,6087.37,1.36,,,19,19,19,,中天精装
25,600052.SH,0.23,2807.05,1.55,,,19,19,19,,东望时代
26,300843.SZ,0.08,10075.33,1.52,,,19,19,19,,胜蓝股份
27,002729.SZ,0.21,3939.75,1.61,,,19,19,19,,好利科技
28,000791.SZ,0.2,8583.63,1.06,,,19,19,19,,甘肃能源
29,000012.SZ,0.49,9395.63,0.73,,,19,19,19,,南 玻Ａ
30,000029.SZ,0.21,5929.46,1.08,,,19,19,19,,深深房Ａ
