排名,股票代码,seal_ratio,seal_amount,seal_strength,consecutive_limit,volume_ratio,base_score,总分,penalty_log
1,600110.SH,4.17,70622.34,0.06,,,70626.56999999999,70626.56999999999,
2,600353.SH,3.69,52943.49,0.05,,,52947.23,52947.23,
3,600105.SH,0.06,45381.17,1.04,,,45382.27,45382.27,
4,002008.SZ,0.06,44099.57,1.45,,,44101.079999999994,44101.079999999994,
5,600549.SH,0.07,31796.04,0.54,,,31796.65,31796.65,
6,000777.SZ,3.42,31277.96,0.67,,,31282.049999999996,31282.049999999996,
7,002741.SZ,1.74,29114.86,0.1,,,29116.7,29116.7,
8,600500.SH,0.29,26771.21,0.42,,,26771.92,26771.92,
9,002851.SZ,0.05,24789.82,0.86,,,24790.73,24790.73,
10,601208.SH,0.04,21103.76,0.57,,,21104.37,21104.37,
11,002585.SZ,0.24,21088.83,0.35,,,21089.420000000002,21089.420000000002,
12,603186.SH,0.18,21077.88,0.33,,,21078.390000000003,21078.390000000003,
13,600206.SH,0.06,19886.65,0.64,,,19887.350000000002,19887.350000000002,
14,002160.SZ,9.05,18622.09,0.21,,,18631.35,18631.35,
15,600392.SH,0.03,17757.36,1.54,,,17758.93,17758.93,
16,002910.SZ,0.89,17278.87,1.74,,,17281.5,17281.5,
17,002436.SZ,0.02,16322.29,1.31,,,16323.62,16323.62,
18,001257.SZ,0.19,14374.08,0.86,,,14375.130000000001,14375.130000000001,
19,002217.SZ,0.15,14118.92,1.44,,,14120.51,14120.51,
20,688635.SH,0.05,13917.63,1.4,,,13919.079999999998,13919.079999999998,
21,603169.SH,0.93,13303.24,0.86,,,13305.03,13305.03,
22,002645.SZ,0.08,12583.34,0.61,,,12584.03,12584.03,
23,601179.SH,0.03,11658.57,1.8,,,11660.4,11660.4,
24,002885.SZ,0.25,11172.72,0.74,,,11173.71,11173.71,
25,002990.SZ,0.23,11083.32,1.62,,,11085.17,11085.17,
26,002782.SZ,0.4,10778.07,0.71,,,10779.179999999998,10779.179999999998,
27,300780.SZ,0.44,10432.57,0.8,,,10433.81,10433.81,
28,300843.SZ,0.08,10075.33,1.52,,,10076.93,10076.93,
29,002735.SZ,0.25,9955.88,0.25,,,9956.38,9956.38,
30,002515.SZ,0.16,9877.61,0.66,,,9878.43,9878.43,
