排名,股票代码,seal_ratio,seal_amount,seal_strength,consecutive_limit,volume_ratio,base_score,formula_score,总分,penalty_log
1,002083.SZ,36.6,88909.88,5.25,,94.82,35,35,35,
2,002674.SZ,2680.1,631003.65,2.05,,99.93,35,35,35,
3,300701.SZ,95.02,53068.29,21.76,,97.94,35,35,35,
4,002326.SZ,3.88,21809.05,8.25,,66.01,33,33,33,
5,002584.SZ,14.21,17013.89,3.5,,87.66,33,33,33,
6,002648.SZ,1.44,13817.04,16.27,,41.94,33,33,33,
7,000566.SZ,8.39,5614.43,13.72,,80.75,30,30,30,
8,002856.SZ,7.97,6170.55,15.43,,79.94,30,30,30,
9,002822.SZ,40.56,7218.4,15.15,,95.3,30,30,30,
10,000551.SZ,4.06,4030.88,6.24,,67.01,27,27,27,
11,603595.SH,12.6,1635.75,3.58,,86.3,27,27,27,
12,000756.SZ,1.04,2012.0,54.13,,34.14,27,27,27,
13,002253.SZ,2.41,385.91,7.69,,54.66,25,25,25,
14,002207.SZ,2.71,361.29,2.08,,57.52,25,25,25,
15,000056.SZ,3.44,528.68,5.06,,63.23,25,25,25,
16,002672.SZ,1.27,722.86,9.22,,38.89,25,25,25,
17,600119.SH,3.52,191.69,6.68,,63.75,25,25,25,
18,002789.SZ,1.17,119.48,5.6,,36.93,25,25,25,
19,002592.SZ,0.5,58.09,13.76,,19.87,25,25,25,
20,003000.SZ,1.69,620.27,10.84,,45.81,25,25,25,
21,002538.SZ,0.29,98.1,9.89,,12.81,19,19,19,
22,002921.SZ,0.3,48.81,2.76,,12.99,19,19,19,
23,600082.SH,0.35,39.85,8.73,,14.92,19,19,19,
24,301030.SZ,0.27,131.4,7.61,,11.91,19,19,19,
