排名,股票代码,seal_ratio,seal_amount,seal_strength,consecutive_limit,volume_ratio,base_score,formula_score,总分,penalty_log
1,000566.SZ,0.79,17937.68,1.93,,,31,31,31,
2,002674.SZ,8.25,45613.24,0.2,,,30,30,30,
3,002584.SZ,1.06,17248.72,0.2,,,28,28,28,
4,603317.SH,0.62,5376.67,0.72,,,25,25,25,
5,002687.SZ,0.22,6288.73,3.75,,,24,24,24,
6,002822.SZ,9.93,2881.53,0.1,,,22,22,22,
7,301132.SZ,0.35,13090.52,0.61,,,22,22,22,
8,002025.SZ,0.24,22576.79,0.74,,,22,22,22,
9,002254.SZ,0.22,15036.05,0.37,,,22,22,22,
10,002580.SZ,0.05,17435.83,2.07,,,21,21,21,
11,605151.SH,0.34,2704.6,2.18,,,21,21,21,
12,605366.SH,0.14,11440.92,2.42,,,21,21,21,
13,002303.SZ,0.27,6099.49,0.83,,,19,19,19,
14,603386.SH,0.22,9935.06,1.07,,,19,19,19,
15,603948.SH,0.36,2801.03,1.62,,,19,19,19,
16,600667.SH,0.08,41386.25,0.6,,,18,18,18,
17,605277.SH,0.11,5892.51,2.25,,,18,18,18,
18,600703.SH,0.13,65043.53,0.56,,,18,18,18,
19,002289.SZ,0.25,2091.03,0.79,,,16,16,16,
20,000967.SZ,0.07,12015.88,1.38,,,16,16,16,
21,002491.SZ,0.17,28858.24,0.25,,,16,16,16,
22,603061.SH,0.09,10912.07,1.07,,,16,16,16,
23,002354.SZ,0.12,18359.59,0.48,,,16,16,16,
24,002427.SZ,0.39,3990.94,1.47,,,16,16,16,
25,002803.SZ,0.11,6148.13,1.8,,,16,16,16,
26,603929.SH,0.07,10557.5,0.67,,,16,16,16,
27,003043.SZ,0.06,7032.89,1.98,,,16,16,16,
28,688403.SH,0.08,24305.04,0.93,,,16,16,16,
29,002550.SZ,0.15,3908.08,2.95,,,15,15,15,
