排名,股票代码,ma_alignment,price_volume_score,macd_direction,main_inflow,big_buy_ratio,base_score,总分,penalty_log
1,300014.SZ,0.0,4.0,0.0,205675.9,0.24733320720317847,205680.1473332072,61704.044199962154,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
2,002463.SZ,0.0,4.0,0.0,149382.96,0.48698511481125933,149387.4469851148,44816.23409553444,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
3,600487.SH,0.0,4.0,0.0,118241.69,0.5242408221836202,118246.21424082218,35473.864272246654,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
4,300502.SZ,0.0,4.0,0.0,111474.28,0.3735422553300796,111478.65354225533,33443.596062676595,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
5,300750.SZ,0.0,4.0,0.0,110140.57,0.2523876273245491,110144.82238762733,33043.4467162882,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
6,000725.SZ,0.0,4.0,0.0,99303.88,0.34098112954889953,99308.22098112955,29792.46629433886,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
7,300476.SZ,0.0,4.0,0.0,97433.45,0.3160266916413018,97437.76602669164,29231.32980800749,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
8,688498.SH,0.0,4.0,0.0,96291.2,0.5124186871673566,96295.71241868717,28888.71372560615,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
9,002709.SZ,0.0,4.0,0.0,95943.09,0.49495602495677665,95947.58495602495,28784.275486807484,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
10,300136.SZ,0.0,,0.0,92684.7,0.13365355111289448,92684.8336535511,27805.45009606533,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
11,600176.SH,0.0,4.0,0.0,89692.88,0.4809751520588647,89697.36097515207,26909.20829254562,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
12,300450.SZ,0.0,,0.0,80637.64,0.3517661496606686,80637.99176614966,24191.397529844897,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
13,300433.SZ,0.0,4.0,0.0,63717.07,0.30226418015654094,63721.37226418016,19116.411679254048,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
14,300570.SZ,0.0,,0.0,61536.61,0.38063236047107013,61536.990632360474,18461.09718970814,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
15,603986.SH,0.0,4.0,0.0,58758.76,0.25486694403014365,58763.01486694403,17628.90446008321,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
16,600030.SH,0.0,,0.0,58512.56,0.14789187000565326,58512.707891870006,17553.812367561,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 4970}]"
