排名,股票代码,main_inflow,momentum_5d,catalyst_score,big_buy_ratio,turnover_rate,base_score,总分,penalty_log
1,300014.SZ,205675.9,17.62,8.0,0.24733320720317847,7.88,205684.0273332072,205684.0273332072,
2,002463.SZ,149382.96,-0.32,8.0,0.48698511481125933,5.73,149389.1769851148,149389.1769851148,
3,600487.SH,118241.69,2.36,8.0,0.5242408221836202,9.24,118251.45424082219,118251.45424082219,
4,300502.SZ,111474.28,-2.05,8.0,0.3735422553300796,3.23,111477.88354225532,111477.88354225532,
5,300750.SZ,110140.57,1.01,8.0,0.2523876273245491,0.82,110141.64238762733,110141.64238762733,
6,000725.SZ,99303.88,-6.44,8.0,0.34098112954889953,7.36,99311.58098112955,99311.58098112955,
7,300476.SZ,97433.45,3.78,5.0,0.3160266916413018,5.42,97439.18602669163,97439.18602669163,
8,688498.SH,96291.2,9.07,8.0,0.5124186871673566,5.17,96296.88241868716,96296.88241868716,
9,002709.SZ,95943.09,8.99,8.0,0.49495602495677665,9.39,95952.97495602495,95952.97495602495,
10,300136.SZ,92684.7,-2.76,0.0,0.13365355111289448,14.37,92699.2036535511,92699.2036535511,
11,600176.SH,89692.88,26.89,8.0,0.4809751520588647,6.04,89699.40097515206,89699.40097515206,
12,300450.SZ,80637.64,9.87,0.0,0.3517661496606686,9.43,80647.42176614965,80647.42176614965,
13,300433.SZ,63717.07,7.97,8.0,0.30226418015654094,4.84,63722.212264180154,63722.212264180154,
14,300570.SZ,61536.61,44.9,0.0,0.38063236047107013,21.27,61558.26063236047,61558.26063236047,
15,603986.SH,58758.76,6.45,8.0,0.25486694403014365,6.41,58765.424866944035,58765.424866944035,
16,600030.SH,58512.56,8.52,0.0,0.14789187000565326,1.81,58514.517891870004,58514.517891870004,
17,300604.SZ,58077.8,13.01,0.0,0.3828260002658514,4.87,58083.05282600027,58083.05282600027,
18,688521.SH,57115.16,9.49,0.0,0.2901149819804359,4.34,57119.79011498198,57119.79011498198,
19,002436.SZ,56217.65,15.6,0.0,0.9999882456655892,13.26,56231.90998824567,56231.90998824567,
20,000063.SZ,55965.49,-2.92,0.0,0.19257580454617815,5.29,55970.972575804546,55970.972575804546,
21,000831.SZ,55124.76,9.82,0.0,0.18858808118011125,9.63,55134.57858808118,55134.57858808118,
22,600498.SH,55054.59,25.74,8.0,0.6509104131121863,12.7,55067.940910413105,55067.940910413105,
23,300024.SZ,51993.16,12.96,0.0,0.1372750109881471,12.01,52005.30727501099,52005.30727501099,
24,300033.SZ,49043.76,4.8,0.0,0.22844531373896496,4.54,49048.52844531374,49048.52844531374,
25,002600.SZ,47933.39,5.58,0.0,0.23158907288440703,3.13,47936.75158907288,47936.75158907288,
26,300088.SZ,47027.1,3.05,0.0,0.20101083691742297,16.32,47043.62101083691,47043.62101083691,
27,600010.SH,45339.78,4.22,0.0,0.3153229257040032,3.06,45343.1553229257,45343.1553229257,
28,300870.SZ,43078.26,26.4,8.0,0.42995169082125606,6.41,43085.09995169083,43085.09995169083,
29,002428.SZ,42496.2,19.53,8.0,0.3501646246019323,22.15,42518.7001646246,42518.7001646246,
30,301666.SZ,42351.9,-12.06,8.0,0.41580942068218735,30.2,42382.51580942068,42382.51580942068,
