排名,股票代码,main_inflow,momentum_5d,catalyst_score,big_buy_ratio,turnover_rate,base_score,formula_score,总分,penalty_log,name
1,000564.SZ,24349.3,5.96,0.0,0.9999990230186574,4.03,30,30,30,,供销大集
2,000066.SZ,11881.82,2.47,8.0,0.44626602856023095,4.48,30,30,30,,中国长城
3,000593.SZ,1589.73,10.51,0.0,0.4969413598285603,8.22,30,30,30,,德龙汇能
4,301072.SZ,1135.06,0.86,8.0,0.4802677942212826,8.77,30,30,30,,中捷精工
5,688685.SH,1435.9,-6.1,8.0,0.4067503245348334,3.31,30,30,30,,迈信林
6,301070.SZ,8735.3,23.35,0.0,0.4166306695464363,9.75,30,30,30,,开勒股份
7,000697.SZ,1505.63,13.92,0.0,0.49992631889183614,4.69,30,30,30,,炼石航空
8,688625.SH,5452.03,10.81,8.0,0.46632765255634967,4.33,30,30,30,,呈和科技
9,688693.SH,420.25,-4.23,8.0,0.40955631399317405,5.67,30,30,30,,锴威特
10,600416.SH,1135.41,7.16,0.0,0.41891811058162026,4.07,30,30,30,,湘电股份
11,002848.SZ,1007.58,-2.9,8.0,0.4853450030531244,6.9,30,30,30,,高斯贝尔
12,688141.SH,16030.44,31.65,8.0,0.6697790636507102,4.23,30,30,30,,杰华特
13,688112.SH,4761.6,14.17,8.0,0.5156532209512342,4.13,30,30,30,,鼎阳科技
14,600615.SH,43.41,6.02,0.0,0.9997650927883486,3.86,30,30,30,,鑫源智造
15,600378.SH,7325.0,10.67,8.0,0.41206056662504614,10.15,30,30,30,,XD昊华科
16,600641.SH,39.13,21.86,0.0,0.4294706428645135,8.85,30,30,30,,先导基电
17,600403.SH,4092.83,-17.86,8.0,0.5483500863031779,7.2,30,30,30,,大有能源
18,002696.SZ,248.25,4.88,8.0,0.6313463615830306,8.71,30,30,30,,百洋股份
19,002709.SZ,95943.09,8.99,8.0,0.49495602495677665,9.39,30,30,30,,天赐材料
20,002682.SZ,122.15,-0.41,0.0,0.41871374686994833,3.18,30,30,30,,龙洲股份
21,600605.SH,3581.83,8.97,0.0,0.5894524350239717,3.58,30,30,30,,汇通能源
22,002729.SZ,8.6,12.16,0.0,0.9999587118084228,5.54,30,30,30,,好利科技
23,600592.SH,1608.28,-20.78,8.0,0.4797947829563248,3.91,30,30,30,,龙溪股份
24,600478.SH,6757.7,8.8,8.0,0.5965598467136605,4.44,30,30,30,,科力远
25,600487.SH,118241.69,2.36,8.0,0.5242408221836202,9.24,30,30,30,,亨通光电
26,688167.SH,30472.29,35.84,0.0,0.48654205607476636,9.89,30,30,30,,炬光科技
27,600293.SH,2127.42,-5.96,8.0,0.4009624857363583,12.65,30,30,30,,三峡新材
28,600301.SH,12039.0,21.47,0.0,0.41805087698919735,9.27,30,30,30,,华锡有色
29,600228.SH,2284.96,37.87,0.0,0.9999692723697149,12.95,30,30,30,,返利科技
30,301389.SZ,19835.9,34.4,8.0,0.4585152838427948,7.3,30,30,30,,隆扬电子
