排名,股票代码,momentum_5d,momentum_20d,volume_ratio,year_limit_days,base_score,总分,penalty_log
1,001309.SZ,4.79,-6.23,94.19,17.0,111.19,111.19,
2,603011.SH,19.31,66.35,97.19,14.0,111.19,111.19,
3,601133.SH,11.9,5.92,95.78,15.0,110.78,110.78,
4,600118.SH,-5.75,-13.72,96.85,13.0,109.85,109.85,
5,002865.SZ,-1.67,-28.82,94.26,15.0,109.26,109.26,
6,002297.SZ,17.44,-0.42,92.39,15.0,107.39,107.39,
7,002957.SZ,-0.41,18.16,94.12,13.0,107.12,107.12,
8,603026.SH,12.38,-6.24,93.08,14.0,107.08,107.08,
9,003031.SZ,12.32,-6.38,95.74,11.0,106.74,106.74,
10,002046.SZ,-3.44,22.02,86.17,20.0,106.17,106.17,
11,600703.SH,-2.66,-0.06,97.91,8.0,105.91,105.91,
12,002792.SZ,-7.47,-23.92,87.63,18.0,105.63,105.63,
13,002971.SZ,35.9,53.79,92.48,13.0,105.48,105.48,
14,002463.SZ,-0.32,37.08,97.19,8.0,105.19,105.19,
15,002902.SZ,9.28,-5.04,95.49,9.0,104.49,104.49,
16,002208.SZ,9.46,-33.67,80.37,23.0,103.37,103.37,
17,603823.SH,25.71,94.0,87.44,15.0,102.44,102.44,
18,000811.SZ,3.3,-12.77,90.04,12.0,102.04,102.04,
19,600487.SH,2.36,42.44,92.62,9.0,101.62,101.62,
20,301396.SZ,18.2,-9.37,95.42,6.0,101.42,101.42,
21,002518.SZ,4.09,-20.58,92.7,8.0,100.7,100.7,
22,603906.SH,8.84,-4.16,89.99,10.0,99.99,99.99,
23,600396.SH,-12.63,14.86,72.42,27.0,99.42,99.42,
24,600183.SH,21.65,79.43,88.3,11.0,99.3,99.3,
25,601126.SH,1.56,-10.87,90.1,9.0,99.1,99.1,
26,002837.SZ,4.98,-6.93,88.01,11.0,99.01,99.01,
27,600246.SH,0.18,20.55,79.49,19.0,98.49,98.49,
28,002353.SZ,0.72,10.43,90.91,7.0,97.91,97.91,
29,002992.SZ,10.73,0.49,96.58,1.0,97.58,97.58,
30,605358.SH,-4.24,23.53,84.85,12.0,96.85,96.85,
