排名,股票代码,momentum_5d,momentum_20d,volume_ratio,year_limit_days,base_score,formula_score,总分,penalty_log,name
1,000021.SZ,9.24,8.86,13.34,5.0,18,18,18,,深科技
2,000014.SZ,-2.51,-15.9,52.16,7.0,18,18,18,,沙河股份
3,000006.SZ,-0.38,-28.81,41.88,8.0,18,18,18,,深振业Ａ
4,000037.SZ,2.64,7.35,66.05,10.0,18,18,18,,深南电A
5,000036.SZ,0.78,-9.17,18.91,10.0,18,18,18,,华联控股
6,000035.SZ,0.39,-17.58,21.46,6.0,18,18,18,,中国天楹
7,688260.SH,12.52,74.27,8.93,7.0,18,18,18,,昀冢科技
8,000066.SZ,2.47,-19.88,56.57,7.0,18,18,18,,中国长城
9,000062.SZ,-3.1,-4.58,61.3,9.0,18,18,18,,深圳华强
10,000407.SZ,-1.48,-13.8,40.78,10.0,18,18,18,,胜利股份
11,600703.SH,-2.66,-0.06,97.91,8.0,18,18,18,,三安光电
12,600708.SH,-3.29,-19.46,70.72,5.0,18,18,18,,光明地产
13,600714.SH,-2.9,0.87,41.92,13.0,18,18,18,,金瑞矿业
14,600719.SH,-3.76,-2.69,42.47,6.0,18,18,18,,大连热电
15,600721.SH,-1.99,-7.07,58.77,8.0,18,18,18,,百花医药
16,600722.SH,-1.9,-22.93,9.35,17.0,18,18,18,,金牛化工
17,600726.SH,-4.75,23.15,45.23,21.0,18,18,18,,华电能源
18,600736.SH,1.33,-4.38,60.45,7.0,18,18,18,,苏州高新
19,600699.SH,-3.6,-17.04,67.19,6.0,18,18,18,,均胜电子
20,600773.SH,4.09,-24.92,23.96,6.0,18,18,18,,西藏城投
21,600775.SH,-0.37,-20.39,19.89,7.0,18,18,18,,南京熊猫
22,600737.SH,-1.78,-15.45,62.96,9.0,18,18,18,,中粮糖业
23,600744.SH,-4.48,-10.86,52.28,14.0,18,18,18,,华银电力
24,600748.SH,-3.11,-22.56,49.79,10.0,18,18,18,,上实发展
25,600749.SH,-4.41,-4.59,9.85,11.0,18,18,18,,西藏旅游
26,600751.SH,4.94,-14.02,63.8,6.0,18,18,18,,海航科技
27,600783.SH,-9.74,-5.83,23.09,14.0,18,18,18,,鲁信创投
28,600758.SH,-10.29,-22.44,5.59,10.0,18,18,18,,辽宁能源
29,600770.SH,1.53,-14.81,9.67,6.0,18,18,18,,综艺股份
30,000601.SZ,-7.85,-11.67,51.11,13.0,18,18,18,,韶能股份
