代码,高开%,竞价额(万),竞价封买(万),开盘金额预(万),开盘量预,L2单数,L2 Tic数,竞价总分,拉取时间
000756.SZ,798.00,3817,0,2609,18544,4659,1672,71.92,2026-06-25T09:27:52+08:00
605069.SH,200.00,1364,300,970,6831,2815,873,68.00,2026-06-25T09:27:52+08:00
000783.SZ,219.00,5740,600,14051,148065,6467,2104,51.01,2026-06-25T09:27:52+08:00
002326.SZ,21.00,4836,100,7410,28554,4083,1797,50.42,2026-06-25T09:27:52+08:00
301211.SZ,421.00,829,0,1062,8979,1747,507,50.24,2026-06-25T09:27:52+08:00
002648.SZ,207.00,12727,700,33652,127615,7485,2182,49.63,2026-06-25T09:27:52+08:00
002370.SZ,354.00,583,0,753,13734,1602,571,47.40,2026-06-25T09:27:52+08:00
002038.SZ,146.00,1110,0,1075,19446,2254,895,45.84,2026-06-25T09:27:52+08:00
002251.SZ,85.00,608,0,443,11618,2168,316,43.40,2026-06-25T09:27:52+08:00
000056.SZ,52.00,601,300,1395,73037,779,201,42.80,2026-06-25T09:27:52+08:00
002083.SZ,-94.00,6027,500,12062,94901,4989,2486,41.23,2026-06-25T09:27:52+08:00
600171.SH,0.00,2538,100,7082,22949,3409,889,40.75,2026-06-25T09:27:52+08:00
603595.SH,0.00,1254,1200,2820,8544,671,317,40.05,2026-06-25T09:27:52+08:00
300411.SZ,40.00,189,0,80,978,820,114,39.80,2026-06-25T09:27:52+08:00
002921.SZ,0.00,1045,0,300,1157,959,553,39.59,2026-06-25T09:27:52+08:00
301030.SZ,79.00,339,0,59,585,430,96,37.46,2026-06-25T09:27:52+08:00
001279.SZ,91.00,224,0,159,557,378,101,37.42,2026-06-25T09:27:52+08:00
600408.SH,0.00,64,0,43,1670,730,133,37.30,2026-06-25T09:27:52+08:00
300465.SZ,8.00,121,0,69,477,674,112,37.06,2026-06-25T09:27:52+08:00
603122.SH,173.00,488,0,759,5943,1046,308,36.23,2026-06-25T09:27:52+08:00
605377.SH,88.00,389,0,457,4973,711,248,36.13,2026-06-25T09:27:52+08:00
600793.SH,0.00,270,0,157,1118,554,194,35.54,2026-06-25T09:27:52+08:00
300701.SZ,270.00,649,0,1332,12106,1425,475,35.42,2026-06-25T09:27:52+08:00
605369.SH,-44.00,398,0,276,1547,624,216,34.48,2026-06-25T09:27:52+08:00
600876.SH,0.00,106,0,112,1338,596,128,34.31,2026-06-25T09:27:52+08:00
603202.SH,0.00,122,0,63,109,417,65,34.17,2026-06-25T09:27:52+08:00
002596.SZ,0.00,33,0,20,595,367,71,33.67,2026-06-25T09:27:52+08:00
603630.SH,0.00,141,0,109,773,331,99,33.31,2026-06-25T09:27:52+08:00
002538.SZ,0.00,53,0,36,610,276,39,32.76,2026-06-25T09:27:52+08:00
002728.SZ,69.00,621,0,955,10852,1286,445,32.26,2026-06-25T09:27:52+08:00
000892.SZ,0.00,45,0,54,1500,500,84,29.90,2026-06-25T09:27:52+08:00
002672.SZ,164.00,329,0,712,17576,916,295,29.60,2026-06-25T09:27:52+08:00
003000.SZ,0.00,9,0,11,103,237,21,29.05,2026-06-25T09:27:52+08:00
600708.SH,0.00,91,0,108,3306,369,62,28.86,2026-06-25T09:27:52+08:00
002031.SZ,118.00,911,0,1975,32646,2417,420,28.56,2026-06-25T09:27:52+08:00
002789.SZ,8.00,127,0,144,1082,163,41,28.29,2026-06-25T09:27:52+08:00
600082.SH,0.00,14,0,15,523,128,13,28.05,2026-06-25T09:27:52+08:00
001225.SZ,-1.00,110,0,146,318,239,77,24.92,2026-06-25T09:27:52+08:00
605167.SH,93.00,422,0,968,5702,436,142,21.17,2026-06-25T09:27:52+08:00
000551.SZ,91.00,640,0,2730,15929,1400,354,20.67,2026-06-25T09:27:52+08:00
600843.SH,0.00,241,0,663,7804,966,205,20.57,2026-06-25T09:27:52+08:00
000995.SZ,30.00,54,0,116,1106,533,53,20.48,2026-06-25T09:27:52+08:00
605118.SH,0.00,278,0,536,1544,463,164,20.20,2026-06-25T09:27:52+08:00
002592.SZ,15.00,95,0,195,2986,173,48,16.91,2026-06-25T09:27:52+08:00
603210.SH,0.00,133,0,329,2291,411,106,16.28,2026-06-25T09:27:52+08:00
002207.SZ,64.00,237,0,858,12813,533,116,16.18,2026-06-25T09:27:52+08:00
002856.SZ,0.00,348,0,1859,9998,805,121,13.67,2026-06-25T09:27:52+08:00
603106.SH,0.00,127,0,523,6498,576,103,13.06,2026-06-25T09:27:52+08:00
600119.SH,0.00,20,0,67,1446,95,24,10.01,2026-06-25T09:27:52+08:00
002253.SZ,0.00,0,0,12,120,0,0,0.00,2026-06-25T09:27:52+08:00
