code,date,open,high,low,close,volume,amount,change_pct,turnover,forward_factor
000002.SH,2026-06-16,4293.65,4303.89,4276.54,4291.26,615370746,136920681.6768,,,
000001.SH,2026-06-16,4094.21,4103.93,4077.87,4091.89,615668296,136961300.8896,,,
000003.SH,2026-06-16,271.34,271.76,269.77,271.0,207141,8602.3416,,,
000009.SH,2026-06-16,7246.68,7316.85,7219.0,7296.25,141564816,32788758.528,,,
000010.SH,2026-06-16,10088.64,10094.84,9994.13,10028.12,162081437,43211384.4224,,,
000016.SH,2026-06-16,2933.96,2936.7,2904.36,2913.99,57244026,20389442.3552,,,
000015.SH,2026-06-16,3208.54,3208.54,3165.48,3169.01,37616388,3822696.0384,,,
000017.SH,2026-06-16,3460.66,3468.89,3446.85,3458.7,600246880,133576038.8096,,,
000018.SH,2026-06-16,5352.35,5370.08,5309.76,5326.89,37712261,4813613.8752,,,
000019.SH,2026-06-16,1204.15,1204.15,1194.84,1196.79,97707677,21154173.7472,,,
000021.SH,2026-06-16,1037.06,1037.06,1028.1,1029.42,75924832,16636959.1296,,,
000029.SH,2026-06-16,4109.92,4114.65,4065.75,4073.77,61254650,7013420.2368,,,
000036.SH,2026-06-16,9284.89,9287.61,9132.94,9149.43,4020699,1423616.1024,,,
000037.SH,2026-06-16,5639.88,5641.37,5561.59,5574.18,4236763,1676390.4,,,
000038.SH,2026-06-16,5311.95,5328.56,5266.87,5284.06,32564552,4422828.032,,,
000042.SH,2026-06-16,1731.48,1733.88,1717.05,1721.11,65864046,10031736.4224,,,
000043.SH,2026-06-16,2547.27,2551.27,2522.04,2528.65,27225754,10187748.9664,,,
000044.SH,2026-06-16,4775.22,4782.1,4737.84,4754.18,104837411,22821940.4288,,,
000048.SH,2026-06-16,1351.69,1352.6,1341.06,1343.19,34055470,11100298.4448,,,
000056.SH,2026-06-16,1245.74,1249.91,1238.16,1239.68,90103786,19814991.4624,,,
000068.SH,2026-06-16,4411.48,4463.42,4390.85,4424.26,54430695,12221598.1056,,,
000069.SH,2026-06-16,4091.93,4092.34,4030.7,4038.65,14928472,4697964.544,,,
000066.SH,2026-06-16,4063.24,4112.52,4047.25,4084.26,63300064,13063667.712,,,
000122.SH,2026-06-16,1415.28,1415.28,1392.91,1399.56,5351994,376687.0272,,,
000151.SH,2026-06-16,1630.25,1630.48,1607.31,1609.6,21711612,2391355.1872,,,
000159.SH,2026-06-16,3851.4,3870.16,3841.0,3858.98,528736551,121747105.3824,,,
000300.SH,2026-06-16,4894.88,4908.28,4866.06,4884.23,282584743,85720255.6928,,,
000681.SH,2026-06-16,2056.62,2090.09,2044.97,2077.8,62098971,44386766.0288,,,
000510.SH,2026-06-16,6107.75,6141.37,6085.31,6111.86,392265362,122250382.5408,,,
000682.SH,2026-06-16,2836.7,2861.62,2801.27,2847.33,14707974,16241174.1184,,,
000680.SH,2026-06-16,2133.6,2168.32,2121.51,2155.57,62098971,44386766.0288,,,
000683.SH,2026-06-16,927.88,927.88,911.18,918.03,2324679,1046497.9968,,,
000685.SH,2026-06-16,4158.93,4211.86,4111.18,4183.82,10688124,17043850.8544,,,
000688.SH,2026-06-16,1751.71,1766.14,1729.04,1758.42,15018218,14264310.1696,,,
000687.SH,2026-06-16,1576.23,1616.06,1569.89,1608.93,5566036,4282102.1696,,,
000690.SH,2026-06-16,2798.81,2892.69,2786.11,2877.65,5434957,8909330.0224,,,
000689.SH,2026-06-16,1788.92,1847.55,1786.07,1821.06,10037522,6695287.1936,,,
000692.SH,2026-06-16,1223.52,1255.35,1210.74,1255.09,8196262,3009808.1792,,,
000693.SH,2026-06-16,2129.26,2204.97,2124.64,2192.08,5463454,4688982.4256,,,
000698.SH,2026-06-16,2001.25,2057.46,1993.87,2038.36,15572926,12191756.288,,,
000699.SH,2026-06-16,1779.73,1811.99,1776.5,1806.74,17471579,9936891.0848,,,
000814.SH,2026-06-16,7341.2,7342.25,7223.42,7236.29,6363873,2121325.3632,,,
000819.SH,2026-06-16,9898.88,10043.33,9837.54,9899.13,62799019,16354785.6896,,,
000827.SH,2026-06-16,1962.23,1992.96,1944.33,1981.66,52008504,15992379.8016,,,
000847.SH,2026-06-16,3623.7,3623.89,3595.86,3603.34,37058784,10707060.3264,,,
000852.SH,2026-06-16,8534.27,8684.65,8508.91,8646.4,298022607,68348883.7632,,,
000858.SH,2026-06-16,13828.91,14163.28,13789.7,14099.5,36428799,19473378.5088,,,
000860.SH,2026-06-16,1288.27,1294.0,1282.95,1287.67,77219033,20097255.0144,,,
000888.SH,2026-06-16,4718.5,4729.69,4699.67,4715.83,615668296,136961300.8896,,,
000901.SH,2026-06-16,6011.4,6011.96,5938.86,5944.16,100264125,14292413.6448,,,
000903.SH,2026-06-16,4755.84,4766.84,4715.37,4732.55,131182289,42043054.4896,,,
000905.SH,2026-06-16,8430.92,8538.19,8413.51,8507.98,231495094,63759358.3616,,,
000906.SH,2026-06-16,5500.55,5529.14,5481.0,5505.72,514079837,149479620.608,,,
000913.SH,2026-06-16,7065.49,7068.32,6960.89,6969.17,3402592,1284462.592,,,
000914.SH,2026-06-16,6024.86,6054.34,5983.76,6003.92,51809160,6562137.2928,,,
000928.SH,2026-06-16,3343.33,3345.06,3286.76,3291.09,17815871,2051960.4224,,,
000932.SH,2026-06-16,12401.62,12403.79,12202.46,12234.78,7172884,2137619.2512,,,
