code,date,open,high,low,close,volume,amount,change_pct,turnover,forward_factor
000003.SH,2026-06-15,267.6,271.17,267.2,271.17,259350,11220.8976,,,
000001.SH,2026-06-15,4053.58,4097.17,4051.07,4096.47,678907811,140358621.5936,,,
000002.SH,2026-06-15,4251.03,4296.75,4248.36,4296.02,678513691,140298446.4384,,,
000009.SH,2026-06-15,7054.25,7233.48,7054.25,7233.17,154151978,32360998.5024,,,
000010.SH,2026-06-15,10018.72,10097.66,9991.01,10094.5,197914497,48620856.9344,,,
000015.SH,2026-06-15,3258.43,3258.43,3209.95,3224.49,52703231,5326120.1408,,,
000016.SH,2026-06-15,2919.69,2946.02,2915.15,2938.65,77484232,24612927.8976,,,
000019.SH,2026-06-15,1205.41,1211.27,1197.45,1205.42,122101437,23618999.0912,,,
000017.SH,2026-06-15,3426.34,3463.16,3424.19,3462.58,662739173,137216747.1104,,,
000018.SH,2026-06-15,5405.29,5469.1,5347.05,5376.61,56371309,7112637.6448,,,
000021.SH,2026-06-15,1040.33,1044.66,1031.38,1038.35,98111742,19370839.2448,,,
000029.SH,2026-06-15,4161.77,4190.09,4107.97,4125.13,82154946,9287727.5136,,,
000037.SH,2026-06-15,5671.88,5701.28,5622.56,5657.43,5572721,2132947.7632,,,
000036.SH,2026-06-15,9384.84,9416.01,9280.58,9320.96,4097812,1576504.2176,,,
000038.SH,2026-06-15,5366.04,5428.59,5305.85,5334.8,48592256,6515712.8192,,,
000042.SH,2026-06-15,1743.04,1749.09,1725.01,1734.95,83866200,12029784.064,,,
000043.SH,2026-06-15,2543.5,2571.88,2539.0,2561.08,38164255,13732928.7168,,,
000044.SH,2026-06-15,4749.34,4778.47,4724.94,4776.94,120430265,24007930.6752,,,
000048.SH,2026-06-15,1350.14,1361.14,1341.68,1352.43,44371672,12706615.296,,,
000056.SH,2026-06-15,1246.27,1255.44,1237.84,1247.88,106595755,22056327.5776,,,
000066.SH,2026-06-15,4022.65,4077.16,4007.88,4074.81,73739292,14953159.0656,,,
000068.SH,2026-06-15,4374.81,4427.56,4360.69,4425.19,67347573,14127787.2128,,,
000069.SH,2026-06-15,4112.2,4129.49,4079.96,4102.28,16019062,5362496.3072,,,
000122.SH,2026-06-15,1418.68,1437.74,1406.68,1420.59,6773727,457568.6144,,,
000151.SH,2026-06-15,1661.78,1661.78,1632.98,1641.11,29400049,3235866.0096,,,
000159.SH,2026-06-15,3792.05,3850.62,3786.88,3850.13,590488354,125894891.9296,,,
000300.SH,2026-06-15,4829.29,4892.55,4803.18,4891.71,331316076,91414573.8752,,,
000680.SH,2026-06-15,2051.1,2128.58,2025.56,2128.58,61543734,44037832.704,,,
000682.SH,2026-06-15,2721.36,2829.65,2666.45,2829.35,15755250,17669778.6368,,,
000681.SH,2026-06-15,1977.16,2051.85,1952.54,2051.85,61543734,44037832.704,,,
000683.SH,2026-06-15,933.46,939.47,922.08,928.99,2738954,1241314.2016,,,
000510.SH,2026-06-15,6001.76,6099.82,5970.26,6099.19,433982613,125575220.4288,,,
000685.SH,2026-06-15,3972.56,4141.88,3877.07,4141.51,11560884,18273009.664,,,
000688.SH,2026-06-15,1687.67,1748.51,1658.32,1748.33,16140938,15847748.4032,,,
