MainBusiness,SafeValue,ShineValue,ShapeValue,TPFlag,ZTPrice,DTPrice,HqDate,fHSL,fLianB,Wtb,Zsz,Ltsz,vzangsu,Fzhsl,FzAmo,VOpenZAF,ZAF,ZAFYesterday,ZAFPre2D,ZAFPre5,ZAFPre10,ZAFPre20,ZAFPre30,ZAFPre60,ZAFYear,ZAFPreMyMonth,ZAFPreOneYear,Zjl,Zjl_HB,TotalBVol,TotalSVol,BCancel,SCancel,L2TicNum,L2OrderNum,FCAmo,FCb,OpenZAF,OpenAmo,OpenZTBuy,OpenAmoPre1,OpenVolPre1,CJJEPre1,CJJEPre3,FDEPre1,FDEPre2,ZTGPNum,LastStartZT,LastZTHzNum,EverZTCount,ConZAFDateNum,YearZTDay,MA5Value,HisHigh,HisLow,IPO_Price,More_YJL,BetaValue,DynaPE,MorePE,StaticPE_TTM,DYRatio,PB_MRQ,IsT0Fund,IsZCZGP,IsKzz,Kzz_HSCode,QHMainYYMM,FreeLtgb,Yield,KfEarnMoney,RDInputFee,CashZJ,PreReceiveZJ,OtherQYJzc,StaffNum,RecentGGJYDate,RecentHGDate,RecentIncentDate,NoticeDate_Recent,RecentReleaseDate,RecentDZDate,ReportDate,ZTDate_Recent,DTDate_Recent,TopDate_Recent,StopJYDate_Recent,code,类型,查询时间
零售金融业务,95,10,50210,0,12.17,9.95,20260616,0.49,0.64,49.53,2123.01,2122.97,2.53,0.06,4023.51,0.09,-1.08,-1.60,2.74,1.58,2.05,4.19,-1.71,3.21,-1.00,3.50,-0.36,-16437.93,-8162.76,102831.00,225063.00,398287.00,581875.00,72788,137090,0.00,0.00,-0.09,3006700.25,0.00,499.63,4457.00,171156.13,500915.81,0.00,0.00,0,1,0,0,-2,0,11.03,12.73,10.07,40.00,0.00,0.07,3.65,5.03,4.98,5.39,0.46,0,0,0,0,0,816048.13,300.67,1448800.05,0.00,38799599.21,0.00,8000000.00,41698,0,0,0,0,20180521,20150521,20260425,20240221,20150119,20240221,0,000001.SZ,股票,2026-06-16 20:26:34
"抵销,开发经营业务",64,4,131309,0,3.44,2.82,20260616,1.17,0.90,29.11,298.53,298.31,1.37,0.05,366.23,0.00,-1.92,-0.95,1.28,-1.60,-9.44,-17.25,-21.48,-33.70,-33.98,-13.52,-52.33,-5178.98,-3643.42,225498.00,328167.00,863399.00,948120.00,37959,81692,0.00,0.00,-0.32,2494800.00,0.00,195.78,6176.00,40108.65,119587.15,0.00,0.00,0,1,0,0,-2,1,3.13,7.22,3.06,1.00,0.00,0.59,-1.54,-0.42,-0.42,0.00,0.33,0,0,0,0,0,647412.48,249.48,-533417.37,6626.26,6049262.39,8991604.74,0.00,131429,0,0,0,0,20091229,20061227,20260430,20251210,20241009,20251210,0,000002.SZ,股票,2026-06-16 20:26:34
移动应用安全业务,1,0,130913,1,2.90,2.62,20260616,0.00,0.00,0.00,3.65,3.49,0.00,0.00,0.00,0.00,0.00,-5.15,-4.90,0.00,0.00,0.00,0.00,-50.36,-75.09,0.00,-70.35,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,143.58,5202.00,693.92,1083.05,-1848.48,-2230.72,0,0,0,0,-6,29,2.94,13.98,2.76,1.00,0.00,0.11,-14.30,-2.78,-2.98,0.00,4.21,0,0,0,0,0,9339.49,0.00,-793.63,1009.47,9703.75,1539.70,0.00,320,0,0,0,0,20230815,20200120,20260428,20260416,20260427,20260427,20260428,000004.SZ,股票,2026-06-16 20:26:34
房产销售,72,3,10708,0,8.67,7.09,20260616,2.48,1.37,41.88,107.05,107.05,1.07,0.09,215.93,0.00,0.63,0.38,0.00,-0.38,-10.40,-28.81,-18.24,-14.18,-20.30,-12.86,15.43,1606.08,-2508.64,13114.00,47078.00,206062.00,158947.00,20453,42152,0.00,0.00,-0.38,511800.00,0.00,50.95,649.00,16270.29,61372.40,0.00,0.00,0,1,0,0,2,8,7.90,15.50,6.09,10.00,0.00,0.95,355.55,-251.74,-1209.68,0.00,1.99,0,0,0,0,0,85059.67,51.18,693.12,0.00,261455.31,233816.09,0.00,417,0,0,0,0,20130517,0,20260430,20260518,20251015,20251021,0,000006.SZ,股票,2026-06-16 20:26:34
"物业租赁及其他服务,汽车销售及相关服务",60,1,51010,0,15.50,12.68,20260616,2.00,0.51,-20.80,49.68,49.68,2.15,0.13,194.31,0.35,1.77,0.07,1.08,9.21,18.52,16.21,-7.55,-3.88,25.35,26.57,80.61,41.77,15.29,3085.00,11244.00,32461.00,36055.00,9101,20664,0.00,0.00,0.92,126600.00,0.00,20.28,144.00,13349.91,38450.18,0.00,0.00,0,1,0,0,6,3,14.06,17.79,6.75,1.00,0.00,0.79,-572.20,2532.89,-2421.55,0.00,27.74,0,0,0,0,0,23007.47,12.66,-232.87,0.00,8955.33,248.94,0.00,172,0,0,0,0,20241121,20110520,20260429,20260430,20260512,20260513,0,000007.SZ,股票,2026-06-16 20:26:34
轨道交通运营检修装备,80,1,70904,0,2.82,2.30,20260616,0.83,0.77,-20.74,69.00,68.99,2.17,0.06,153.97,0.00,-0.78,4.49,2.08,0.00,-1.56,-5.93,-5.57,-11.19,-10.88,-1.17,-7.97,-1481.89,412.91,52112.00,190397.00,147646.00,168248.00,5431,14771,0.00,0.00,0.78,2709800.00,0.00,63.59,2606.00,10498.36,22723.79,0.00,0.00,0,1,0,0,-1,4,2.49,3.60,2.39,10.00,0.00,0.63,-56.74,-8.33,-8.45,0.00,3.20,0,0,0,0,0,165387.84,270.98,-3574.30,3539.96,54938.29,96542.97,0.00,1750,0,0,0,0,20190321,20160321,20260430,20260331,20260403,20260403,0,000008.SZ,股票,2026-06-16 20:26:34
高新技术产业分部,62,4,70904,0,7.67,6.27,20260616,1.50,1.52,-15.75,182.61,182.38,0.96,0.05,245.75,0.00,1.58,-1.27,3.07,0.71,-3.54,-9.81,-18.15,-21.86,-28.12,-4.32,-12.48,2431.22,-1855.41,30301.00,51434.00,202670.00,145193.00,27068,50756,0.00,0.00,0.14,415300.00,0.00,135.52,1906.00,25819.78,78781.59,0.00,0.00,0,1,0,0,1,1,6.99,12.79,6.83,3.00,0.00,0.59,261.43,88.54,346.21,0.43,1.82,0,0,0,0,0,159620.56,41.53,2013.72,21766.10,521267.66,43741.05,0.00,15986,0,0,0,0,20250709,20150304,20260430,20250924,20250407,20221014,0,000009.SZ,股票,2026-06-16 20:26:34
工程项目,5,0,110101,0,2.23,2.01,20260616,2.72,0.93,16.40,24.14,18.33,1.27,0.09,75.10,0.00,-0.94,-4.07,0.91,-13.58,-9.48,-19.23,-27.33,-54.34,-40.51,-0.00,-33.33,-740.02,-560.65,33380.00,45349.00,186074.00,138460.00,4283,9997,0.00,0.00,-0.94,518100.00,0.00,371.13,17506.00,6041.31,17930.98,0.00,0.00,0,1,0,0,-2,18,2.19,5.25,1.84,1.00,0.00,0.41,22.30,-70.51,-1435.46,0.00,8.20,0,0,0,0,0,73225.49,51.81,2693.17,0.00,2066.53,9835.41,0.00,121,0,0,20230909,0,20260612,20220628,20260429,20260609,20260611,20260609,0,000010.SZ,股票,2026-06-16 20:26:34
物业管理,86,2,110901,0,8.37,6.85,20260616,0.81,0.77,11.90,44.40,39.22,3.05,0.14,64.67,0.00,-2.10,1.60,4.45,4.63,0.40,-5.93,-7.46,-17.32,-17.13,1.64,-11.63,-781.19,-40.00,3861.00,11282.00,20859.00,18384.00,7094,12982,0.00,0.00,-0.79,397100.00,0.00,13.16,176.00,7188.84,15408.99,0.00,0.00,0,1,0,0,-1,4,7.40,11.62,6.98,3.60,0.00,0.50,-40.76,133.85,2758.51,0.26,1.32,0,0,0,0,0,18702.63,39.71,-2815.71,103.89,152602.69,78244.22,0.00,8769,0,0,0,0,20200430,0,20260429,20251028,20250407,20251024,0,000011.SZ,股票,2026-06-16 20:26:34
玻璃产品,75,0,110113,0,4.52,3.70,20260616,2.19,0.73,0.00,137.52,88.56,0.25,0.02,73.63,0.49,9.98,2.75,-1.96,2.73,10.24,20.85,12.16,-4.64,2.04,11.60,0.44,-7682.63,10506.96,244330.00,0.00,1232263.00,19522.00,14532,32689,9395.63,0.49,-0.24,649900.00,0.00,110.60,2765.00,21004.71,63747.48,0.00,0.00,0,1,1,1,2,3,4.19,5.27,3.62,3.38,0.00,0.61,-34.85,99.50,1120.95,0.48,1.06,0,0,0,0,0,130973.96,64.99,-12094.35,11407.57,318254.75,32736.81,0.00,14054,0,20250214,0,0,20190925,20071015,20260428,20260522,20210727,20260522,0,000012.SZ,股票,2026-06-16 20:26:34
