stock_code,行业一级_代码,行业一级,行业二级_代码,行业二级,行业三级_代码,行业三级
000001.SZ,881385.SH,银行,881386.SH,全国性银行,881388.SH,股份制银行
000002.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000004.SZ,881351.SH,计算机,881355.SH,软件服务,881356.SH,基础软件
000006.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000007.SZ,881199.SH,商贸,881204.SH,商业物业经营,881204.SH,商业物业经营
000008.SZ,881292.SH,机械设备,881293.SH,轨交设备,881293.SH,轨交设备
000009.SZ,881260.SH,电力设备,881262.SH,电池,881264.SH,电池化学品
000010.SZ,881405.SH,建筑,881407.SH,基础建设,881409.SH,园林工程
000011.SZ,881417.SH,房地产,881422.SH,房产服务,881423.SH,物业管理
000012.SZ,881090.SH,建材,881094.SH,玻璃玻纤,881095.SH,玻璃制造
000014.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000016.SZ,881183.SH,家电,881187.SH,黑色家电,881188.SH,电视
000017.SZ,881150.SH,纺织服饰,881162.SH,饰品,881163.SH,钟表珠宝
000019.SZ,881105.SH,农林牧渔,881123.SH,农产品加工,881124.SH,粮油加工
000020.SZ,881318.SH,电子,881329.SH,光学光电,881330.SH,面板
000021.SZ,881318.SH,电子,881326.SH,消费电子,881327.SH,消费电子组件
000025.SZ,881477.SH,综合,881478.SH,综合类,881478.SH,综合类
000026.SZ,881150.SH,纺织服饰,881162.SH,饰品,881163.SH,钟表珠宝
000027.SZ,881458.SH,公用事业,881459.SH,电力,881461.SH,火力发电
000028.SZ,881230.SH,医药医疗,881252.SH,医药商业,881253.SH,医药流通
000029.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000030.SZ,881211.SH,汽车,881218.SH,汽车零部件,881220.SH,底盘与发动机系统
000031.SZ,881417.SH,房地产,881418.SH,房地产开发,881420.SH,商业地产
000032.SZ,881405.SH,建筑,881410.SH,专业工程,881414.SH,其他专业工程
000034.SZ,881351.SH,计算机,881359.SH,云服务,881363.SH,其他云服务
000035.SZ,881469.SH,环保,881471.SH,环境治理,881474.SH,固废治理
000036.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000037.SZ,881458.SH,公用事业,881459.SH,电力,881461.SH,火力发电
000039.SZ,881292.SH,机械设备,881294.SH,通用设备,881298.SH,金属制品
000042.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000045.SZ,881318.SH,电子,881329.SH,光学光电,881331.SH,光学元件
000048.SZ,881105.SH,农林牧渔,881111.SH,养殖业,881112.SH,生猪养殖
000049.SZ,881260.SH,电力设备,881262.SH,电池,881263.SH,锂电池
000050.SZ,881318.SH,电子,881329.SH,光学光电,881330.SH,面板
000055.SZ,881090.SH,建材,881097.SH,装饰建材,881103.SH,其他建材
000056.SZ,881199.SH,商贸,881204.SH,商业物业经营,881204.SH,商业物业经营
000058.SZ,881199.SH,商贸,881204.SH,商业物业经营,881204.SH,商业物业经营
000059.SZ,881006.SH,石油,881011.SH,石油化工,881012.SH,炼油化工
000060.SZ,881070.SH,有色,881071.SH,工业金属,881074.SH,铅锌
000061.SZ,881199.SH,商贸,881204.SH,商业物业经营,881204.SH,商业物业经营
000062.SZ,881318.SH,电子,881336.SH,其他电子,881336.SH,其他电子
000063.SZ,881337.SH,通信,881338.SH,通信设备,881341.SH,系统设备
000065.SZ,881405.SH,建筑,881410.SH,专业工程,881413.SH,国际工程
000066.SZ,881351.SH,计算机,881352.SH,IT设备,881354.SH,其他IT设备
000068.SZ,881469.SH,环保,881471.SH,环境治理,881473.SH,水治理
000069.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000070.SZ,881337.SH,通信,881338.SH,通信设备,881339.SH,光纤光缆
000078.SZ,881230.SH,医药医疗,881252.SH,医药商业,881253.SH,医药流通
000088.SZ,881441.SH,交通运输,881449.SH,航运港口,881450.SH,港口
000089.SZ,881441.SH,交通运输,881446.SH,航空机场,881448.SH,机场
000090.SZ,881405.SH,建筑,881407.SH,基础建设,881408.SH,基建工程
000096.SZ,881006.SH,石油,881011.SH,石油化工,881013.SH,石油贸易
000099.SZ,881441.SH,交通运输,881446.SH,航空机场,881447.SH,航空运输
000100.SZ,881318.SH,电子,881329.SH,光学光电,881330.SH,面板
000151.SZ,881199.SH,商贸,881206.SH,贸易,881206.SH,贸易
000153.SZ,881230.SH,医药医疗,881231.SH,化学制药,881232.SH,化学制剂
000155.SZ,881458.SH,公用事业,881459.SH,电力,881463.SH,风力发电
000156.SZ,881368.SH,传媒,881384.SH,广播电视,881384.SH,广播电视
000157.SZ,881292.SH,机械设备,881310.SH,工程机械,881311.SH,工程机械整机
000158.SZ,881351.SH,计算机,881355.SH,软件服务,881357.SH,行业应用软件
000159.SZ,881006.SH,石油,881011.SH,石油化工,881013.SH,石油贸易
000166.SZ,881393.SH,非银金融,881394.SH,证券,881394.SH,证券
000301.SZ,881015.SH,化工,881019.SH,化纤,881020.SH,涤纶
000333.SZ,881183.SH,家电,881184.SH,白色家电,881185.SH,空调
000338.SZ,881211.SH,汽车,881218.SH,汽车零部件,881220.SH,底盘与发动机系统
000400.SZ,881260.SH,电力设备,881268.SH,电网设备,881270.SH,电网自动化
000401.SZ,881090.SH,建材,881091.SH,水泥,881092.SH,水泥制造
000402.SZ,881417.SH,房地产,881418.SH,房地产开发,881420.SH,商业地产
000403.SZ,881230.SH,医药医疗,881234.SH,生物制品,881235.SH,血液制品
000404.SZ,881183.SH,家电,881198.SH,家电零部件,881198.SH,家电零部件
000407.SZ,881458.SH,公用事业,881467.SH,燃气,881467.SH,燃气
000408.SZ,881015.SH,化工,881055.SH,农用化工,881059.SH,钾肥
000409.SZ,881351.SH,计算机,881355.SH,软件服务,881357.SH,行业应用软件
000410.SZ,881292.SH,机械设备,881294.SH,通用设备,881296.SH,机床制造
000411.SZ,881230.SH,医药医疗,881252.SH,医药商业,881253.SH,医药流通
000415.SZ,881393.SH,非银金融,881396.SH,多元金融,881401.SH,租赁
000417.SZ,881199.SH,商贸,881200.SH,一般零售,881202.SH,百货
000419.SZ,881199.SH,商贸,881200.SH,一般零售,881203.SH,多业态零售
000420.SZ,881015.SH,化工,881019.SH,化纤,881022.SH,粘胶纤维
000421.SZ,881458.SH,公用事业,881467.SH,燃气,881467.SH,燃气
000422.SZ,881015.SH,化工,881055.SH,农用化工,881058.SH,磷肥及磷化工
000423.SZ,881230.SH,医药医疗,881256.SH,中药,881256.SH,中药
000425.SZ,881292.SH,机械设备,881310.SH,工程机械,881311.SH,工程机械整机
000426.SZ,881070.SH,有色,881071.SH,工业金属,881074.SH,铅锌
000428.SZ,881426.SH,社会服务,881429.SH,酒店餐饮,881430.SH,酒店
000429.SZ,881441.SH,交通运输,881442.SH,公路铁路,881444.SH,高速公路
000430.SZ,881426.SH,社会服务,881432.SH,旅游,881433.SH,旅游景区
000488.SZ,881166.SH,轻工制造,881167.SH,造纸,881168.SH,大宗用纸
000498.SZ,881405.SH,建筑,881407.SH,基础建设,881408.SH,基建工程
000501.SZ,881199.SH,商贸,881200.SH,一般零售,881202.SH,百货
000503.SZ,881351.SH,计算机,881355.SH,软件服务,881357.SH,行业应用软件
000504.SZ,881230.SH,医药医疗,881247.SH,医疗服务,881251.SH,其他医疗服务
000505.SZ,881105.SH,农林牧渔,881123.SH,农产品加工,881124.SH,粮油加工
000506.SZ,881070.SH,有色,881075.SH,贵金属,881076.SH,黄金
000507.SZ,881458.SH,公用事业,881459.SH,电力,881463.SH,风力发电
000509.SZ,881318.SH,电子,881329.SH,光学光电,881330.SH,面板
000510.SZ,881015.SH,化工,881026.SH,化学原料,881029.SH,氯碱
000513.SZ,881230.SH,医药医疗,881231.SH,化学制药,881232.SH,化学制剂
000514.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000516.SZ,881230.SH,医药医疗,881247.SH,医疗服务,881250.SH,医院
000517.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000518.SZ,881230.SH,医药医疗,881234.SH,生物制品,881239.SH,基因药物
000519.SZ,881286.SH,国防军工,881287.SH,地面兵装,881287.SH,地面兵装
000520.SZ,881441.SH,交通运输,881449.SH,航运港口,881451.SH,航运
000521.SZ,881183.SH,家电,881184.SH,白色家电,881186.SH,冰洗
000523.SZ,881129.SH,食品饮料,881144.SH,食品加工,881146.SH,制糖业
000524.SZ,881426.SH,社会服务,881432.SH,旅游,881434.SH,旅游服务
000525.SZ,881015.SH,化工,881055.SH,农用化工,881056.SH,农药
000526.SZ,881426.SH,社会服务,881428.SH,教育培训,881428.SH,教育培训
000528.SZ,881292.SH,机械设备,881310.SH,工程机械,881311.SH,工程机械整机
000529.SZ,881129.SH,食品饮料,881144.SH,食品加工,881145.SH,肉制品
000530.SZ,881292.SH,机械设备,881294.SH,通用设备,881300.SH,制冷空调设备
000531.SZ,881458.SH,公用事业,881459.SH,电力,881461.SH,火力发电
000532.SZ,881393.SH,非银金融,881396.SH,多元金融,881399.SH,投资管理
000533.SZ,881260.SH,电力设备,881268.SH,电网设备,881271.SH,输变电设备
000534.SZ,881230.SH,医药医疗,881234.SH,生物制品,881240.SH,其他生物制药
000536.SZ,881318.SH,电子,881329.SH,光学光电,881330.SH,面板
000537.SZ,881458.SH,公用事业,881459.SH,电力,881463.SH,风力发电
000538.SZ,881230.SH,医药医疗,881256.SH,中药,881256.SH,中药
000539.SZ,881458.SH,公用事业,881459.SH,电力,881461.SH,火力发电
000541.SZ,881318.SH,电子,881329.SH,光学光电,881332.SH,LED
000543.SZ,881458.SH,公用事业,881459.SH,电力,881461.SH,火力发电
000544.SZ,881469.SH,环保,881471.SH,环境治理,881473.SH,水治理
000545.SZ,881015.SH,化工,881026.SH,化学原料,881028.SH,钛白粉
000546.SZ,881469.SH,环保,881471.SH,环境治理,881474.SH,固废治理
000547.SZ,881286.SH,国防军工,881291.SH,军工电子,881291.SH,军工电子
000548.SZ,881441.SH,交通运输,881442.SH,公路铁路,881444.SH,高速公路
000550.SZ,881211.SH,汽车,881215.SH,商用车,881216.SH,商用载货车
000551.SZ,881469.SH,环保,881470.SH,环保设备,881470.SH,环保设备
000552.SZ,881001.SH,煤炭,881002.SH,煤炭开采,881003.SH,动力煤
000553.SZ,881015.SH,化工,881055.SH,农用化工,881056.SH,农药
000554.SZ,881006.SH,石油,881011.SH,石油化工,881013.SH,石油贸易
000555.SZ,881351.SH,计算机,881355.SH,软件服务,881357.SH,行业应用软件
000557.SZ,881441.SH,交通运输,881442.SH,公路铁路,881443.SH,铁路运输
000558.SZ,881426.SH,社会服务,881432.SH,旅游,881433.SH,旅游景区
000559.SZ,881211.SH,汽车,881218.SH,汽车零部件,881220.SH,底盘与发动机系统
000560.SZ,881417.SH,房地产,881422.SH,房产服务,881424.SH,租赁经纪
000561.SZ,881286.SH,国防军工,881289.SH,航天装备,881289.SH,航天装备
000563.SZ,881393.SH,非银金融,881396.SH,多元金融,881398.SH,信托
000564.SZ,881199.SH,商贸,881200.SH,一般零售,881202.SH,百货
000565.SZ,881015.SH,化工,881034.SH,化学制品,881036.SH,涂料油墨
000566.SZ,881230.SH,医药医疗,881231.SH,化学制药,881232.SH,化学制剂
000567.SZ,881393.SH,非银金融,881396.SH,多元金融,881404.SH,其他金融服务
000568.SZ,881129.SH,食品饮料,881130.SH,酿酒,881135.SH,白酒
000570.SZ,881292.SH,机械设备,881294.SH,通用设备,881299.SH,内燃机
000571.SZ,881001.SH,煤炭,881002.SH,煤炭开采,881003.SH,动力煤
000572.SZ,881211.SH,汽车,881212.SH,乘用车,881214.SH,综合乘用车
000573.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000576.SZ,881286.SH,国防军工,881287.SH,地面兵装,881287.SH,地面兵装
000581.SZ,881211.SH,汽车,881218.SH,汽车零部件,881220.SH,底盘与发动机系统
000582.SZ,881441.SH,交通运输,881449.SH,航运港口,881450.SH,港口
000586.SZ,881337.SH,通信,881338.SH,通信设备,881339.SH,光纤光缆
000589.SZ,881211.SH,汽车,881218.SH,汽车零部件,881221.SH,轮胎轮毂
000590.SZ,881230.SH,医药医疗,881256.SH,中药,881256.SH,中药
000591.SZ,881458.SH,公用事业,881459.SH,电力,881464.SH,光伏发电
000592.SZ,881105.SH,农林牧渔,881115.SH,林业,881115.SH,林业
000593.SZ,881458.SH,公用事业,881467.SH,燃气,881467.SH,燃气
000595.SZ,881458.SH,公用事业,881459.SH,电力,881463.SH,风力发电
000596.SZ,881129.SH,食品饮料,881130.SH,酿酒,881135.SH,白酒
000597.SZ,881230.SH,医药医疗,881231.SH,化学制药,881232.SH,化学制剂
000598.SZ,881458.SH,公用事业,881468.SH,水务,881468.SH,水务
000599.SZ,881211.SH,汽车,881218.SH,汽车零部件,881221.SH,轮胎轮毂
000600.SZ,881458.SH,公用事业,881459.SH,电力,881461.SH,火力发电
000601.SZ,881458.SH,公用事业,881459.SH,电力,881460.SH,水力发电
000603.SZ,881070.SH,有色,881075.SH,贵金属,881077.SH,白银
000605.SZ,881458.SH,公用事业,881468.SH,水务,881468.SH,水务
000607.SZ,881368.SH,传媒,881370.SH,广告营销,881372.SH,其他广告营销
000608.SZ,881417.SH,房地产,881418.SH,房地产开发,881420.SH,商业地产
000609.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000610.SZ,881426.SH,社会服务,881432.SH,旅游,881434.SH,旅游服务
000612.SZ,881070.SH,有色,881071.SH,工业金属,881073.SH,铝
000615.SZ,881230.SH,医药医疗,881257.SH,医疗美容,,
000617.SZ,881393.SH,非银金融,881396.SH,多元金融,881402.SH,金融控股
000619.SZ,881090.SH,建材,881097.SH,装饰建材,881103.SH,其他建材
000620.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000623.SZ,881230.SH,医药医疗,881256.SH,中药,881256.SH,中药
000625.SZ,881211.SH,汽车,881212.SH,乘用车,881214.SH,综合乘用车
000626.SZ,881199.SH,商贸,881206.SH,贸易,881206.SH,贸易
000628.SZ,881405.SH,建筑,881406.SH,房屋建设,881406.SH,房屋建设
000629.SZ,881070.SH,有色,881082.SH,稀有金属,881086.SH,其他金属
000630.SZ,881070.SH,有色,881071.SH,工业金属,881072.SH,铜
000631.SZ,881477.SH,综合,881478.SH,综合类,881478.SH,综合类
000632.SZ,881199.SH,商贸,881206.SH,贸易,881206.SH,贸易
000633.SZ,881070.SH,有色,881087.SH,金属新材料,881089.SH,其他金属新材料
000635.SZ,881015.SH,化工,881026.SH,化学原料,881029.SH,氯碱
000636.SZ,881318.SH,电子,881333.SH,元器件,881335.SH,被动元件
000637.SZ,881006.SH,石油,881011.SH,石油化工,881014.SH,其他石化
000639.SZ,881105.SH,农林牧渔,881123.SH,农产品加工,881124.SH,粮油加工
000650.SZ,881230.SH,医药医疗,881256.SH,中药,881256.SH,中药
000651.SZ,881183.SH,家电,881184.SH,白色家电,881185.SH,空调
000652.SZ,881199.SH,商贸,881206.SH,贸易,881206.SH,贸易
000655.SZ,881061.SH,钢铁,881062.SH,冶钢原料,881063.SH,铁矿石
000656.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000657.SZ,881070.SH,有色,881082.SH,稀有金属,881084.SH,钨钼
000659.SZ,881166.SH,轻工制造,881171.SH,包装印刷,881174.SH,塑料包装
000661.SZ,881230.SH,医药医疗,881234.SH,生物制品,881239.SH,基因药物
000663.SZ,881105.SH,农林牧渔,881115.SH,林业,881115.SH,林业
000665.SZ,881368.SH,传媒,881384.SH,广播电视,881384.SH,广播电视
000668.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000669.SZ,881458.SH,公用事业,881467.SH,燃气,881467.SH,燃气
000670.SZ,881318.SH,电子,881336.SH,其他电子,881336.SH,其他电子
000672.SZ,881090.SH,建材,881091.SH,水泥,881092.SH,水泥制造
000676.SZ,881368.SH,传媒,881370.SH,广告营销,881371.SH,互联网广告
000677.SZ,881015.SH,化工,881019.SH,化纤,881020.SH,涤纶
000678.SZ,881211.SH,汽车,881218.SH,汽车零部件,881220.SH,底盘与发动机系统
000679.SZ,881199.SH,商贸,881200.SH,一般零售,881202.SH,百货
000680.SZ,881292.SH,机械设备,881310.SH,工程机械,881311.SH,工程机械整机
000681.SZ,881368.SH,传媒,881376.SH,数字媒体,881378.SH,文字图片媒体
000682.SZ,881260.SH,电力设备,881268.SH,电网设备,881270.SH,电网自动化
000683.SZ,881015.SH,化工,881026.SH,化学原料,881030.SH,纯碱
000685.SZ,881458.SH,公用事业,881468.SH,水务,881468.SH,水务
000686.SZ,881393.SH,非银金融,881394.SH,证券,881394.SH,证券
000688.SZ,881070.SH,有色,881071.SH,工业金属,881074.SH,铅锌
000690.SZ,881458.SH,公用事业,881459.SH,电力,881461.SH,火力发电
000691.SZ,881015.SH,化工,881026.SH,化学原料,881033.SH,其他化学原料
000692.SZ,881458.SH,公用事业,881459.SH,电力,881462.SH,热力服务
000695.SZ,881260.SH,电力设备,881262.SH,电池,881264.SH,电池化学品
000697.SZ,881286.SH,国防军工,881288.SH,航空装备,881288.SH,航空装备
000698.SZ,881006.SH,石油,881011.SH,石油化工,881012.SH,炼油化工
000700.SZ,881211.SH,汽车,881218.SH,汽车零部件,881219.SH,车身附件及饰件
000701.SZ,881199.SH,商贸,881206.SH,贸易,881206.SH,贸易
000702.SZ,881105.SH,农林牧渔,881119.SH,饲料,881120.SH,畜禽饲料
000703.SZ,881015.SH,化工,881019.SH,化纤,881020.SH,涤纶
000705.SZ,881230.SH,医药医疗,881252.SH,医药商业,881253.SH,医药流通
000707.SZ,881015.SH,化工,881026.SH,化学原料,881030.SH,纯碱
000708.SZ,881061.SH,钢铁,881069.SH,特钢,881069.SH,特钢
000709.SZ,881061.SH,钢铁,881065.SH,普钢,881067.SH,板材
000710.SZ,881230.SH,医药医疗,881247.SH,医疗服务,881248.SH,诊断服务
000711.SZ,881469.SH,环保,881471.SH,环境治理,881475.SH,生态修复
000712.SZ,881393.SH,非银金融,881394.SH,证券,881394.SH,证券
000713.SZ,881105.SH,农林牧渔,881106.SH,种植业,881109.SH,种子
000715.SZ,881199.SH,商贸,881200.SH,一般零售,881202.SH,百货
000716.SZ,881129.SH,食品饮料,881144.SH,食品加工,881149.SH,其他食品
000717.SZ,881061.SH,钢铁,881065.SH,普钢,881066.SH,长材
000718.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000719.SZ,881368.SH,传媒,881380.SH,出版业,881382.SH,大众出版
000720.SZ,881260.SH,电力设备,881268.SH,电网设备,881273.SH,线缆部件及其他
000721.SZ,881426.SH,社会服务,881429.SH,酒店餐饮,881431.SH,餐饮
000722.SZ,881458.SH,公用事业,881459.SH,电力,881460.SH,水力发电
000723.SZ,881001.SH,煤炭,881005.SH,焦炭加工,881005.SH,焦炭加工
000725.SZ,881318.SH,电子,881329.SH,光学光电,881330.SH,面板
000726.SZ,881150.SH,纺织服饰,881151.SH,纺织制造,881152.SH,棉纺制品
000727.SZ,881318.SH,电子,881329.SH,光学光电,881330.SH,面板
000728.SZ,881393.SH,非银金融,881394.SH,证券,881394.SH,证券
000729.SZ,881129.SH,食品饮料,881130.SH,酿酒,881131.SH,啤酒
000731.SZ,881015.SH,化工,881055.SH,农用化工,881057.SH,氮肥
000733.SZ,881286.SH,国防军工,881291.SH,军工电子,881291.SH,军工电子
000735.SZ,881105.SH,农林牧渔,881111.SH,养殖业,881112.SH,生猪养殖
000736.SZ,881417.SH,房地产,881418.SH,房地产开发,881419.SH,住宅开发
000737.SZ,881070.SH,有色,881071.SH,工业金属,881072.SH,铜
000738.SZ,881286.SH,国防军工,881288.SH,航空装备,881288.SH,航空装备
000739.SZ,881230.SH,医药医疗,881231.SH,化学制药,881233.SH,原料药
000750.SZ,881393.SH,非银金融,881394.SH,证券,881394.SH,证券
000751.SZ,881070.SH,有色,881071.SH,工业金属,881074.SH,铅锌
000752.SZ,881129.SH,食品饮料,881130.SH,酿酒,881131.SH,啤酒
000753.SZ,881477.SH,综合,881478.SH,综合类,881478.SH,综合类
000755.SZ,881441.SH,交通运输,881442.SH,公路铁路,881444.SH,高速公路
000756.SZ,881230.SH,医药医疗,881231.SH,化学制药,881233.SH,原料药
000757.SZ,881211.SH,汽车,881224.SH,汽车服务,881226.SH,汽车综合服务
